P,P,C,1B,2B,3B,SS,OF,OF,OF,Proj_pts
James Paxton,Joey Lucchesi,Austin Hedges,Mitch Moreland,Luis Urias,Rafael Devers,Manny Machado,Wil Myers,Hunter Renfroe,Aaron Judge,112.58000000000001
James Paxton,Eduardo Rodriguez,Francisco Mejia,Christian Walker,Luis Urias,Colin Moran,Manny Machado,Wil Myers,Hunter Renfroe,Aaron Judge,111.94
James Paxton,Eduardo Rodriguez,Austin Hedges,Mitch Moreland,Brock Holt,Giovanny Urshela,Manny Machado,Wil Myers,Hunter Renfroe,Manuel Margot,111.86000000000001
James Paxton,Joey Lucchesi,Francisco Mejia,Ryan O'Hearn,Ketel Marte,Rafael Devers,Manny Machado,Wil Myers,Hunter Renfroe,Manuel Margot,111.44
James Paxton,Joey Lucchesi,Francisco Mejia,Rhys Hoskins,Luis Urias,Giovanny Urshela,Manny Machado,Wil Myers,Hunter Renfroe,Mookie Betts,111.28
James Paxton,Eduardo Rodriguez,Austin Hedges,Eric Hosmer,Timothy Lopes,Colin Moran,Manny Machado,Wil Myers,Hunter Renfroe,Mookie Betts,111.2
James Paxton,Joey Lucchesi,Meibrys Viloria,Eric Hosmer,Eduardo Escobar,Giovanny Urshela,Manny Machado,Wil Myers,Hunter Renfroe,Manuel Margot,111.14000000000001
James Paxton,Joey Lucchesi,Francisco Mejia,Mitch Moreland,Eduardo Escobar,Colin Moran,Fernando Tatis,Wil Myers,Hunter Renfroe,Manuel Margot,110.89999999999999
James Paxton,Joey Lucchesi,Francisco Mejia,Eric Hosmer,Brock Holt,Hunter Dozier,Manny Machado,Wil Myers,Hunter Renfroe,Aaron Judge,110.75
James Paxton,Eduardo Rodriguez,Francisco Mejia,Mitch Moreland,Luis Urias,Giovanny Urshela,Fernando Tatis,Wil Myers,Hunter Renfroe,Trent Grisham,110.70000000000002
James Paxton,Joey Lucchesi,Meibrys Viloria,Mitch Moreland,Brock Holt,Rafael Devers,Manny Machado,Billy Hamilton,Mookie Betts,Jackie Bradley,110.6
James Paxton,Joey Lucchesi,Meibrys Viloria,Christian Walker,Luis Urias,Rafael Devers,Fernando Tatis,Wil Myers,Hunter Renfroe,Manuel Margot,110.54
James Paxton,Joey Lucchesi,Yasmani Grandal,Eric Hosmer,Luis Urias,Colin Moran,Fernando Tatis,Wil Myers,Hunter Renfroe,Aaron Judge,110.44
James Paxton,Joey Lucchesi,Austin Hedges,Christian Walker,DJ LeMahieu,Colin Moran,Manny Machado,Wil Myers,Hunter Renfroe,Manuel Margot,110.38000000000001
James Paxton,Joey Lucchesi,Meibrys Viloria,Ryan O'Hearn,Whit Merrifield,Hunter Dozier,Manny Machado,Hunter Renfroe,Aaron Judge,Jorge Soler,110.22000000000001
James Paxton,Eduardo Rodriguez,Tom Murphy,Austin Nola,Timothy Lopes,Giovanny Urshela,Manny Machado,Hunter Renfroe,Mallex Smith,Domingo Santana,109.96000000000002
James Paxton,Eduardo Rodriguez,Austin Hedges,Rhys Hoskins,Luis Urias,Colin Moran,Fernando Tatis,Wil Myers,Hunter Renfroe,Bryce Harper,109.93
James Paxton,Joey Lucchesi,Christian Vazquez,Mitch Moreland,Brock Holt,Colin Moran,Xander Bogaerts,Wil Myers,Hunter Renfroe,Jackie Bradley,109.77000000000001
James Paxton,Joey Lucchesi,Austin Hedges,Eric Hosmer,Brock Holt,Rafael Devers,Fernando Tatis,Wil Myers,Hunter Renfroe,Trent Grisham,109.72
James Paxton,Eduardo Rodriguez,Austin Hedges,Eric Hosmer,Luis Urias,Giovanny Urshela,Manny Machado,Hunter Renfroe,Trent Grisham,Aaron Judge,109.72000000000003
