Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?
Humberto Arteaga,2500.00,KCR,SS,DET,6.85,2.74,9,1
Sam Travis,3500.00,BOS,1B/OF,LAA,9.46,2.7,4,1
Dawel Lugo,2800.00,DET,3B,KCR,7.03,2.51,5,1
Ryan O'Hearn,2900.00,KCR,1B,DET,6.95,2.4,6,1
Victor Reyes,3500.00,DET,OF,KCR,8.32,2.38,1,1
Scooter Gennett,3100.00,SFG,2B,PHI,7.26,2.34,4,1
Justin Upton,3900.00,LAA,OF,BOS,8.87,2.27,4,1
Brandon Belt,3900.00,SFG,1B,PHI,8.62,2.21,1,1
Sandy Leon,2900.00,BOS,C,LAA,6.29,2.17,8,1
Shohei Ohtani,5000.00,LAA,OF,BOS,10.58,2.12,3,1
Christian Vazquez,4200.00,BOS,C,LAA,8.76,2.09,5,1
Justin Smoak,3800.00,TOR,1B,NYY,7.93,2.09,5,1
Mookie Betts,4900.00,BOS,OF,LAA,10.17,2.08,1,1
Bryce Harper,4200.00,PHI,OF,SFG,8.75,2.08,1,1
Aaron Judge,4800.00,NYY,OF,TOR,10,2.08,2,1
Didi Gregorius,4200.00,NYY,SS,TOR,8.69,2.07,3,1
Miguel Cabrera,3900.00,DET,1B,KCR,7.9,2.03,3,1
Xander Bogaerts,5100.00,BOS,SS,LAA,10.3,2.02,2,1
J.D. Martinez,4900.00,BOS,OF,LAA,9.88,2.02,3,1
Cavan Biggio,4500.00,TOR,2B,NYY,9,2,2,1
Alex Gordon,3900.00,KCR,OF,DET,7.78,1.99,2,1
Isan Diaz,3100.00,MIA,2B,ATL,6.18,1.99,1,1
Mike Trout,5800.00,LAA,OF,BOS,11.49,1.98,2,1
Lewis Brinson,2300.00,MIA,OF,ATL,4.5,1.96,6,1
Kole Calhoun,4400.00,LAA,OF,BOS,8.6,1.95,1,1
Ender Inciarte,3600.00,ATL,OF,MIA,6.97,1.94,7,1
Wilfredo Tovar,3300.00,LAA,SS,BOS,6.36,1.93,9,1
Niko Goodrum,4200.00,DET,OF/SS,KCR,8.08,1.92,2,1
Michael Chavis,4300.00,BOS,1B/2B,LAA,8.2,1.91,6,1
Mike Yastrzemski,4500.00,SFG,OF,PHI,8.53,1.9,2,1
Cheslor Cuthbert,4000.00,KCR,1B/3B,DET,7.54,1.89,5,1
David Fletcher,4000.00,LAA,3B/SS,BOS,7.56,1.89,6,1
Meibrys Viloria,3100.00,KCR,C,DET,5.87,1.89,8,1
Danny Jansen,3200.00,TOR,C,NYY,5.97,1.87,9,1
Mike Ford,3700.00,NYY,1B,TOR,6.9,1.86,8,1
Vladimir Guerrero Jr,4500.00,TOR,3B,NYY,8.34,1.85,3,1
Buster Posey,3700.00,SFG,C,PHI,6.85,1.85,3,1
Randal Grichuk,4200.00,TOR,OF,NYY,7.76,1.85,4,1
Brock Holt,3300.00,BOS,2B,LAA,6.12,1.85,7,1
Ronald Acuna,5700.00,ATL,OF,MIA,10.48,1.84,1,1
J.T. Realmuto,4000.00,PHI,C,SFG,7.27,1.82,5,1
Gary Sanchez,4700.00,NYY,C,TOR,8.51,1.81,4,1
Brian McCann,3800.00,ATL,C,MIA,6.86,1.81,5,1
Jake Rogers,3600.00,DET,C,KCR,6.5,1.81,8,1
Matthew Thaiss,4100.00,LAA,1B/3B,BOS,7.4,1.8,5,1
Rhys Hoskins,4100.00,PHI,1B,SFG,7.39,1.8,2,1
Cesar Hernandez,3500.00,PHI,2B,SFG,6.31,1.8,6,1
Luis Rengifo,3500.00,LAA,2B/SS,BOS,6.25,1.79,7,1
Whit Merrifield,4600.00,KCR,2B/OF,DET,8.19,1.78,1,1
Harold Castro,3600.00,DET,2B/OF,KCR,6.37,1.77,6,1
Bubba Starling,3100.00,KCR,OF,DET,5.45,1.76,7,1
Brandon Dixon,4600.00,DET,1B,KCR,8.06,1.75,4,1
Freddie Freeman,5600.00,ATL,1B,MIA,9.78,1.75,3,1
Travis Demeritte,3900.00,DET,OF,KCR,6.77,1.74,7,1
Starlin Castro,3300.00,MIA,2B,ATL,5.73,1.74,2,1
Freddy Galvis,4200.00,TOR,SS,NYY,7.31,1.74,6,1
Jean Segura,3800.00,PHI,SS,SFG,6.6,1.74,4,1
Hunter Dozier,4700.00,KCR,3B,DET,8.12,1.73,3,1
Brett Gardner,4500.00,NYY,OF,TOR,7.72,1.72,6,1
Kevan Smith,3500.00,LAA,C,BOS,5.99,1.71,8,1
Evan Longoria,4000.00,SFG,3B,PHI,6.7,1.68,5,1
DJ LeMahieu,5300.00,NYY,2B/3B,TOR,8.86,1.67,1,1
Ozzie Albies,5000.00,ATL,2B,MIA,8.29,1.66,2,1
Deven Marrero,2900.00,MIA,3B,ATL,4.79,1.65,8,1
Giovanny Urshela,5200.00,NYY,3B,TOR,8.52,1.64,5,1
Garrett Cooper,3700.00,MIA,1B/OF,ATL,6.03,1.63,4,1
Derek Fisher,4200.00,TOR,OF,NYY,6.74,1.6,7,1
Adam Haseley,3800.00,PHI,OF,SFG,6.03,1.59,8,1
Harold Ramirez,3500.00,MIA,OF,ATL,5.57,1.59,5,1
Jordy Mercer,3400.00,DET,SS,KCR,5.37,1.58,9,1
Bo Bichette,5000.00,TOR,SS,NYY,7.9,1.58,1,1
Jorge Soler,4600.00,KCR,OF,DET,7.2,1.57,4,1
Cameron Maybin,4600.00,NYY,OF,TOR,7.18,1.56,7,1
Brandon Crawford,3500.00,SFG,SS,PHI,5.39,1.54,6,1
Brian Anderson,4300.00,MIA,3B/OF,ATL,6.6,1.53,3,1
Adam Duvall,4300.00,ATL,OF,MIA,6.58,1.53,6,1
Bryan Holaday,3200.00,MIA,C,ATL,4.84,1.51,7,1
Corey Dickerson,4600.00,PHI,OF,SFG,6.92,1.5,3,1
Josh Donaldson,4800.00,ATL,3B,MIA,7.08,1.48,4,1
Scott Kingery,4200.00,PHI,3B/OF,SFG,6.21,1.48,7,1
Mike Tauchman,4900.00,NYY,OF,TOR,7.16,1.46,9,1
Charlie Culberson,4300.00,ATL,OF/SS,MIA,6.09,1.42,8,1
Kevin Pillar,4100.00,SFG,OF,PHI,5.74,1.4,7,1
Teoscar Hernandez,3900.00,TOR,OF,NYY,5.36,1.37,8,1
Jackie Bradley,3500.00,BOS,OF,LAA,4.29,1.23,9,1
Austin Slater,4000.00,SFG,OF,PHI,4.59,1.15,8,1
