Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val,Batting_Order_Confirmed_,Confirmed?,Projected Ownership
Brandon Belt,3100.00,SFG,1B,WAS,7.93,2.56,1,1,7.00%
Scooter Gennett,2600.00,SFG,2B,WAS,6.47,2.49,5,1,4.00%
Buster Posey,3100.00,SFG,C,WAS,7.4,2.39,3,1,3.00%
Michael Wacha,6000.00,STL,SP,LAD,14.29,2.38,,,2.00%
Brandon Crawford,2700.00,SFG,SS,WAS,6.3,2.33,6,1,6.00%
Steven Duggar,2600.00,SFG,OF,WAS,5.94,2.28,8,1,1.00%
Adam Eaton,3700.00,WAS,OF,SFG,8.35,2.26,2,1,2.00%
Joc Pederson,4000.00,LAD,1B/OF,STL,8.76,2.19,1,1,7.00%
Matt Carpenter,3700.00,STL,3B,LAD,8.04,2.17,1,1,6.00%
Erick Fedde,5600.00,WAS,SP,SFG,11.97,2.14,,,5.00%
Merrill Kelly,6600.00,ARI,SP,PHI,13.9,2.11,,,4.00%
David Peralta,4200.00,ARI,OF,PHI,8.81,2.1,2,1,2.00%
Dexter Fowler,3500.00,STL,OF,LAD,7.25,2.07,2,1,3.00%
Cesar Hernandez,3800.00,PHI,2B,ARI,7.87,2.07,1,1,2.00%
Brian Dozier,3400.00,WAS,2B,SFG,6.99,2.06,6,1,3.00%
Trea Turner,4400.00,WAS,SS,SFG,8.98,2.04,1,1,5.00%
Kevin Pillar,3100.00,SFG,OF,WAS,6.26,2.02,7,1,1.00%
Corey Seager,4000.00,LAD,SS,STL,8.04,2.01,5,1,5.00%
Bryce Harper,4500.00,PHI,OF,ARI,9.02,2,3,1,3.00%
Jean Segura,4300.00,PHI,SS,ARI,8.44,1.96,5,1,2.00%
Max Muncy,4400.00,LAD,1B/2B,STL,8.6,1.95,2,1,11.00%
Mike Yastrzemski,3800.00,SFG,OF,WAS,7.36,1.94,2,1,3.00%
Pablo Sandoval,3600.00,SFG,1B/3B,WAS,6.98,1.94,4,1,1.00%
Justin Turner,4400.00,LAD,3B,STL,8.52,1.94,3,1,9.00%
Paul DeJong,4100.00,STL,SS,LAD,7.88,1.92,5,1,4.00%
Paul Goldschmidt,4400.00,STL,1B,LAD,8.44,1.92,3,1,4.00%
Jake Lamb,4200.00,ARI,1B/3B,PHI,7.97,1.9,5,1,1.00%
Kolten Wong,3600.00,STL,2B,LAD,6.77,1.88,7,1,1.00%
Eduardo Escobar,4900.00,ARI,3B,PHI,9.23,1.88,3,1,2.00%
J.T. Realmuto,4400.00,PHI,C,ARI,8.2,1.86,4,1,5.00%
Cody Bellinger,5600.00,LAD,OF,STL,10.29,1.84,4,1,7.00%
Rhys Hoskins,4700.00,PHI,1B,ARI,8.45,1.8,2,1,2.00%
Adam Jones,4000.00,ARI,OF,PHI,7.18,1.8,6,1,1.00%
Jose Martinez,3600.00,STL,OF,LAD,6.45,1.79,6,1,1.00%
Ketel Marte,5000.00,ARI,2B/OF,PHI,8.93,1.79,1,1,2.00%
Adam Haseley,3600.00,PHI,OF,ARI,6.4,1.78,7,1,1.00%
Victor Robles,3500.00,WAS,OF,SFG,6.21,1.77,8,1,1.00%
Matt Adams,4100.00,WAS,1B,SFG,7.23,1.76,5,1,1.00%
Christian Walker,4400.00,ARI,1B,PHI,7.73,1.76,4,1,1.00%
Juan Soto,4500.00,WAS,OF,SFG,7.85,1.74,4,1,2.00%
Marcell Ozuna,4500.00,STL,OF,LAD,7.74,1.72,4,1,3.00%
Vincent Velasquez,7800.00,PHI,SP,ARI,13.29,1.7,,,15.00%
Will Smith,4200.00,LAD,C,STL,7.11,1.69,6,1,5.00%
Scott Kingery,4400.00,PHI,3B/OF,ARI,7.4,1.68,6,1,1.00%
Kristopher Negron,3300.00,LAD,2B/OF,STL,5.36,1.62,7,1,
Jeff Samardzija,8700.00,SFG,SP,WAS,14.12,1.62,,,6.00%
Anthony Rendon,4900.00,WAS,3B,SFG,7.87,1.61,3,1,1.00%
Matthew Beaty,3800.00,LAD,1B/OF,STL,5.93,1.56,8,1,1.00%
Tony Gonsolin,7000.00,LAD,SP,STL,10.89,1.56,,,0.25%
Nick Ahmed,4000.00,ARI,SS,PHI,6.21,1.55,7,1,1.00%
Matt Wieters,3700.00,STL,C,LAD,5.63,1.52,8,1,3.00%
Roman Quinn,4100.00,PHI,OF,ARI,6.1,1.49,9,1,0.25%
Carson Kelly,4400.00,ARI,C,PHI,6.15,1.4,8,1,1.00%
Kurt Suzuki,3400.00,WAS,C,SFG,4.73,1.39,7,1,0.25%
