Date,Lineup Overlap,Payout
2021-01-18,3,0.0
2021-01-18,4,0.5
2021-01-18,5,0.0
2021-01-18,6,0.0
2021-01-18,7,0.0
2021-01-19,3,20.0
2021-01-19,4,0.5
2021-01-19,5,0.5
2021-01-19,6,1.5
2021-01-19,7,1.5
2021-01-20,3,0.0
2021-01-20,4,0.0
2021-01-20,5,0.0
2021-01-20,6,0.0
2021-01-20,7,0.0
2021-01-21,3,0.0
2021-01-21,4,0.0
2021-01-21,5,0.0
2021-01-21,6,0.0
2021-01-21,7,0.0
2021-01-22,3,0.0
2021-01-22,4,0.0
2021-01-22,5,0.5
2021-01-22,6,0.0
2021-01-22,7,0.0
2021-01-28,3,0.0
2021-01-28,4,0.0
2021-01-28,5,0.0
2021-01-28,6,0.0
2021-01-28,7,0.0
2021-01-29,3,0.0
2021-01-29,4,0.0
2021-01-29,5,0.0
2021-01-29,6,0.0
2021-01-29,7,0.0
2021-01-30,3,0.0
2021-01-30,4,0.0
2021-01-30,5,0.0
2021-01-30,6,0.0
2021-01-30,7,0.0
2021-01-31,3,2.5
2021-01-31,4,1.0
2021-01-31,5,0.5
2021-01-31,6,0.5
2021-01-31,7,0.5
2021-02-04,3,1.75
2021-02-04,4,1.25
2021-02-04,5,0.75
2021-02-04,6,4.25
2021-02-04,7,4.25
